,Freq. of Max,Time of Max,Max Energy,Attack,Release,Sound SBN
89,39.0,1.0,48.529945373535156,0.023537414965986395,0.15414965986394558,t
90,899.0,0.0,6.359966278076172,0.2201360544217687,0.00036281179138321996,t
91,772.0,1.0,18.076004028320312,0.02666666666666667,0.06321995464852607,t
92,39.0,2.0,5.377103805541992,0.003219954648526077,0.033197278911564626,ts
93,127.0,2.0,10.581462860107422,0.011201814058956917,0.17038548752834468,ts
94,26.0,0.0,48.27096176147461,0.02489795918367347,0.11356009070294784,ts
95,809.0,1.0,6.122280120849609,0.019410430839002266,0.05147392290249433,ts
96,16.0,0.0,49.627262115478516,0.013514739229024943,0.11768707482993197,B
97,703.0,2.0,4.887306213378906,0.040589569160997735,0.0674829931972789,B
98,339.0,2.0,11.33991813659668,0.040634920634920635,0.11074829931972789,B
99,882.0,2.0,9.244309425354004,0.03845804988662131,0.08412698412698413,B
100,730.0,2.0,13.32059383392334,0.040317460317460314,0.06349206349206349,Pf
101,14.0,1.0,25.212295532226562,0.01886621315192744,0.12077097505668934,Pf
102,28.0,2.0,74.58303833007812,0.016235827664399093,0.12843537414965986,Pf
103,740.0,2.0,8.054938316345215,0.038684807256235826,0.06566893424036281,Pf
104,702.0,5.0,6.6165852546691895,0.08566893424036282,0.07786848072562358,Pch
105,14.0,1.0,29.659223556518555,0.03151927437641723,0.1271655328798186,Pch
106,26.0,2.0,118.41361236572266,0.04557823129251701,0.13995464852607709,Pch
107,723.0,2.0,7.944138526916504,0.0419047619047619,0.0945578231292517,Pch
108,708.0,1.0,6.258838653564453,0.033151927437641726,0.0946938775510204,K
109,14.0,1.0,31.84955596923828,0.020272108843537414,0.11623582766439909,K
110,11.0,2.0,15.649539947509766,0.014693877551020407,0.1328798185941043,K
111,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,K
112,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,^Ksh
113,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,^Ksh
114,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,^Ksh
115,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,^Ksh
116,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,rrh
117,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,rrh
118,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,rrh
119,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,rrh
120,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,t
121,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,t
122,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,t
123,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,t
124,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,ts
125,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,ts
126,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,ts
127,684.0,2.0,10.048271179199219,0.03034013605442177,0.10988662131519275,ts
128,16.0,1.0,32.998313903808594,0.0039002267573696146,0.1401814058956916,B
129,652.0,0.0,6.740686416625977,0.025714285714285714,0.0817687074829932,B
130,177.0,1.0,9.147734642028809,0.027346938775510202,0.09664399092970521,B
131,646.0,2.0,5.662846565246582,0.054965986394557825,0.057777777777777775,B
